10000001 10000111 3 2 5 2 7 2 3 2 11
10000001 10001101 3 2 5 2 7 2 3 2 11
10000001 10010011 3 2 5 2 7 2 3 2 11
10000001 10011001 3 2 5 2 7 2 3 2 11
10000001 10011111 3 2 5 2 7 2 3 2 11
10000001 10100101 3 2 5 2 7 2 3 2 11
10000001 10110001 3 2 5 2 7 2 3 2 11
10000001 10110111 3 2 5 2 7 2 3 2 11
10000001 10111101 3 2 5 2 7 2 3 2 11
10000001 11000011 3 2 5 2 7 2 3 2 11
10000001 11001001 3 2 5 2 7 2 3 2 11
10000001 11001111 3 2 5 2 7 2 3 2 11
10000001 11011011 3 2 5 2 7 2 3 2 11
10000001 11100001 3 2 5 2 7 2 3 2 11
10000001 11100111 3 2 5 2 7 2 3 2 11
10000001 11101101 3 2 5 2 7 2 3 2 11
10000001 11110011 3 2 5 2 7 2 3 2 11
10000001 11111001 3 2 5 2 7 2 3 2 11
10000001 11111111 3 2 5 2 7 2 3 2 11
10000101 10100001 7 13 3 31 43 3 73 7 3
10000101 10101111 7 13 3 31 43 3 73 7 3
10000101 10111101 7 13 3 31 43 3 73 7 3
10000101 11100111 7 13 3 31 43 3 73 7 3
10000101 11110101 7 13 3 31 43 3 73 7 3
10000111 10001101 3 2 5 2 7 2 3 2 11
10000111 10010011 3 2 5 2 7 2 3 2 11
10000111 10011001 3 2 5 2 7 2 3 2 11
10000111 10011111 3 2 5 2 7 2 3 2 11
10000111 10100101 3 2 5 2 7 2 3 2 11
10000111 10101111 5 2 17 2 37 2 5 2 101
10000111 10110001 3 2 5 2 7 2 3 2 11
10000111 10110111 3 2 5 2 7 2 3 2 11
10000111 10111101 3 2 5 2 7 2 3 2 11
10000111 11000011 3 2 5 2 7 2 3 2 11
10000111 11001001 3 2 5 2 7 2 3 2 11
10000111 11001111 3 2 5 2 7 2 3 2 11
10000111 11010111 5 2 17 2 37 2 5 2 101
10000111 11011011 3 2 5 2 7 2 3 2 11
10000111 11100001 3 2 5 2 7 2 3 2 11
